Gene_symbol	Gene_Entrez_IDs
GPN3	51184
GPS1	2873
GRB2	2885
GRPEL1	80273
GRWD1	83743
GSPT1	2935
GTF2A1	2957
GTF2A2	2958
GTF2B	2959
GTF2E1	2960
GTF2E2	2961
GTF2H3	2967
GTF2H4	2968
GTF3C1	2975
GTF3C2	2976
GTF3C3	9330
GTF3C4	9329
GTF3C5	9328
GTPBP4	23560
GTPBP8	29083
GUK1	2987
H2AFX	3014
HARS2	23438
HARS	3035
HAUS1	115106
HAUS3	79441
HAUS4	54930
HAUS5	23354
HAUS7	55559
HAUS8	93323
HCFC1	3054
HCFC1R1	54985
HDAC3	8841
HEATR1	55127
HECTD1	25831
HGS	9146
HINFP	25988
HIST1H4A	8359
HJURP	55355
HM13	81502
HMGCR	3156
HMGCS1	3157
HNRNPA2B1	3181
HNRNPH1	3187
HNRNPK	3190
HNRNPM	4670
HNRNPU	3192
HOXC6	3223
HSCB	150274
HSD17B10	3028
HSPA14	51182
HSPA5	3309
HSPA9	3313
HTATSF1	27336
HUS1	3364
HUWE1	10075
HYOU1	10525
IARS2	55699
IARS	3376
IBA57	200205
IDH3A	3419
IER2	9592
IGBP1	3476
IKBKAP	8518
ILF2	3608
ILF3	3609
ILK	3611
IMMT	10989
IMP3	55272
IMP4	92856
INCENP	3619
INO80B	83444
INO80	54617
INTS10	55174
INTS1	26173
INTS2	57508
INTS3	65123
INTS4	92105
INTS5	80789
INTS6	26512
INTS7	25896
INTS8	55656
INTS9	55756
IPO11	51194
IPO13	9670
IPO7	10527
IPO9	55705
ISCU	23479
ISG20L2	81875
ISY1	57461
ITGAV	3685
ITGB5	3693
JUNB	3726
KANSL1	284058
KANSL2	54934
KANSL3	55683
KARS	3735
KAT2A	2648
KAT8	84148
KATNB1	10300
KCTD10	83892
KDM8	79831
KDSR	2531
KEAP1	9817
KIAA0020	9933
KIAA0100	9703
KIAA0947	23379
KIAA1429	25962
KIAA1524	57650
KIF11	3832
KIF18A	81930
KIF23	9493
